"CN","STATECD","COUNTYCD","PLOT","MEASYEAR","INVYR","CONDID","EVALID","PLT_CN","CND_CN","STRATUM_CN","PHASE","CONDPROP_CWD","CONDPROP_FWD_SM","CONDPROP_FWD_MD","CONDPROP_FWD_LG","CONDPROP_DUFF","CWD_TL_COND","CWD_TL_UNADJ","CWD_TL_ADJ","CWD_LPA_COND","CWD_LPA_UNADJ","CWD_LPA_ADJ","CWD_VOLCF_COND","CWD_VOLCF_UNADJ","CWD_VOLCF_ADJ","CWD_DRYBIO_COND","CWD_DRYBIO_UNADJ","CWD_DRYBIO_ADJ","CWD_CARBON_COND","CWD_CARBON_UNADJ","CWD_CARBON_ADJ","FWD_SM_TL_COND","FWD_SM_TL_UNADJ","FWD_SM_TL_ADJ","FWD_SM_CNT_COND","FWD_SM_VOLCF_COND","FWD_SM_VOLCF_UNADJ","FWD_SM_VOLCF_ADJ","FWD_SM_DRYBIO_COND","FWD_SM_DRYBIO_UNADJ","FWD_SM_DRYBIO_ADJ","FWD_SM_CARBON_COND","FWD_SM_CARBON_UNADJ","FWD_SM_CARBON_ADJ","FWD_MD_TL_COND","FWD_MD_TL_UNADJ","FWD_MD_TL_ADJ","FWD_MD_CNT_COND","FWD_MD_VOLCF_COND","FWD_MD_VOLCF_UNADJ","FWD_MD_VOLCF_ADJ","FWD_MD_DRYBIO_COND","FWD_MD_DRYBIO_UNADJ","FWD_MD_DRYBIO_ADJ","FWD_MD_CARBON_COND","FWD_MD_CARBON_UNADJ","FWD_MD_CARBON_ADJ","FWD_LG_TL_COND","FWD_LG_TL_UNADJ","FWD_LG_TL_ADJ","FWD_LG_CNT_COND","FWD_LG_VOLCF_COND","FWD_LG_VOLCF_UNADJ","FWD_LG_VOLCF_ADJ","FWD_LG_DRYBIO_COND","FWD_LG_DRYBIO_UNADJ","FWD_LG_DRYBIO_ADJ","FWD_LG_CARBON_COND","FWD_LG_CARBON_UNADJ","FWD_LG_CARBON_ADJ","PILE_SAMPLE_AREA_COND","PILE_SAMPLE_AREA_UNADJ","PILE_SAMPLE_AREA_ADJ","PILE_VOLCF_COND","PILE_VOLCF_UNADJ","PILE_VOLCF_ADJ","PILE_DRYBIO_COND","PILE_DRYBIO_UNADJ","PILE_DRYBIO_ADJ","PILE_CARBON_COND","PILE_CARBON_UNADJ","PILE_CARBON_ADJ","FUEL_DEPTH","FUEL_BIOMASS","FUEL_CARBON","DUFF_DEPTH","DUFF_BIOMASS","DUFF_CARBON","LITTER_DEPTH","LITTER_BIOMASS","LITTER_CARBON","DUFF_TC_COND","DUFF_TC_UNADJ","DUFF_TC_ADJ","AVG_WOOD_DENSITY","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","UNITCD","RSCD","PILE_TL_COND","PILE_TL_UNADJ","PILE_TL_ADJ","CONDPROP_PILE"
"670704768126144",39,169,5407,2010,2010,2,391007,"168995389010661","247584942010661","30462204020004","",0.270833333333,0.332505170867,0.332505170867,0.399254653779,0.333333333333,78,288,288,0,0,0,0,0,0,0,0,0,0,0,0,7.9702231413,23.9702231413,23.9702231413,2,7.08815421514251350311814889111704423893E-01,2.35684792843620250268889007900169141851E-01,2.35684792843620250268889007900169141851E-01,1.75301978210362321847269408595501475612E01,5.82888142181248810329180199966956060799E00,5.82888142181248810329180199966956060799E00,8.76509891051811609236347042977507378061E00,2.914440710906244051645900999834780304,2.914440710906244051645900999834780304,7.9702231413,23.9702231413,23.9702231413,5,5.48435280031187951904625804808268699708E01,1.82357566496152415599778251534753674506E01,1.82357566496152415599778251534753674506E01,1.35637271131082824899768604108692672979E03,4.51000940133474109236598087341324015652E02,4.51000940133474109236598087341324015652E02,6.78186355655414124498843020543463364893E02,2.25500470066737054618299043670662007826E02,2.25500470066737054618299043670662007826E02,15.9503719021,39.9503719021,39.9503719021,1,6.52525166363631756488158957056974087869E01,2.60523709378348202923069581503282488984E01,2.60523709378348202923069581503282488984E01,1.61380451135247392319060571445532227596E03,6.44318961446406978647265421992803709062E02,6.44318961446406978647265421992803709062E02,8.06902255676236961595302857227661137978E02,3.22159480723203489323632710996401854531E02,3.22159480723203489323632710996401854531E02,0.049599822649,0.1661669,0.1661669,0,0,0,0,0,0,0,0,0,0.325,,,0.05,1428.405,714.2025,0.25,2776.95,1388.475,4,12,12,29.0960968348,"",2019-06-14,"126144","",2019-06-14,"126144",6,4,4,24,0,0,0,0.298494000002
"670704776126144",39,173,2584,2010,2010,1,391007,"168996513010661","247521378010661","30462204020004","",1,1,1,1,1,288,288,288,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0.1661669,0.1661669,0.1661669,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,12,12,12,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",6,4,6,24,0,0,0,1
"670704788126144",39,175,1015,2010,2010,1,391007,"168996627010661","247521443010661","30462204020004","",1,1,1,1,1,288,288,288,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0.1661669,0.1661669,0.1661669,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,12,12,12,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",6,4,6,24,0,0,0,1
"670704803126144",39,1,561,2012,2012,1,391507,"247063599010661","211868160020004","389119454489998","",1,1,1,1,1,192,192,184.8625954198,,,,0,0,0,0,0,0,0,0,0,24,24,23.1297709924,32,3.7662780503088,3.7662780503088,3.90797960071645782178217821782178217823E00,1.13272576876235661870670740134367126829E02,1.13272576876235661870670740134367126829E02,1.1753431739237126103016132243645222665E02,5.66362884381178309353353700671835634145E01,5.66362884381178309353353700671835634145E01,5.8767158696185630515080661218226113325E01,24,24,23.1297709924,16,58.2820208054656,58.2820208054656,6.04748097070573750495049504950495049506E01,1.75285908103576834503737910562269161464E03,1.75285908103576834503737910562269161464E03,1.81880823457968834217739930959661466549E03,8.76429540517884172518689552811345807318E02,8.76429540517884172518689552811345807318E02,9.09404117289844171088699654798307332743E02,40,40,38.5496183206,13,338.260620066837,338.260620066837,3.50987257257470471287128712871287128714E02,1.01733466246822663646563544220411569564E04,1.01733466246822663646563544220411569564E04,1.05561062006604110397622370636625074162E04,5.0866733123411331823281772110205784782E03,5.0866733123411331823281772110205784782E03,5.2780531003302055198811185318312537081E03,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0625,2611.33125,1305.665625,1.075,17443.0575,8721.52875,8,8,7.702005730659,35.3829041214,"",2019-06-14,"126144","",2019-06-14,"126144",7,1,1,24,192,192,184.8625954198,1
"670707676126144",39,1,561,2012,2012,1,391807,"247063599010661","211868160020004","668295616126144","",1,1,1,1,1,192,192,182.6072815534,,,,0,0,0,0,0,0,0,0,0,24,24,22.8349514563,32,3.7662780503088,3.7662780503088,3.95843509369190204081632653061224489794E00,1.13272576876235661870670740134367126829E02,1.13272576876235661870670740134367126829E02,1.19051789982166052782439655447345041462E02,5.66362884381178309353353700671835634145E01,5.66362884381178309353353700671835634145E01,5.9525894991083026391219827723672520731E01,24,24,22.8349514563,16,58.2820208054656,58.2820208054656,6.12555932955403755102040816326530612243E01,1.75285908103576834503737910562269161464E03,1.75285908103576834503737910562269161464E03,1.84229066680289938304949028448099220721E03,8.76429540517884172518689552811345807318E02,8.76429540517884172518689552811345807318E02,9.21145333401449691524745142240496103606E02,40,40,38.0582524272,13,338.260620066837,338.260620066837,3.55518814968206234693877551020408163264E02,1.01733466246822663646563544220411569564E04,1.01733466246822663646563544220411569564E04,1.06923949218599330159143316884718282296E04,5.0866733123411331823281772110205784782E03,5.0866733123411331823281772110205784782E03,5.3461974609299665079571658442359141148E03,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0625,2611.33125,1305.665625,1.075,17443.0575,8721.52875,8,8,7.606557377049,35.3829041214,"",2019-06-14,"126144","",2019-06-14,"126144",7,1,1,24,192,192,182.6072815534,1
"670704347126144",39,49,5006,2010,2010,1,391007,"168995637010661","248065369010661","30462205020004","",0.75,0.75,0.75,0.75,0.75,216,288,285.1524752475,0,0,0,0,0,0,0,0,0,0,0,0,18,24,23.7609714146,0,0,0,0,0,0,0,0,0,0,18,24,23.7609714146,0,0,0,0,0,0,0,0,0,0,30,40,39.6016190243,0,0,0,0,0,0,0,0,0,0,0.124625175,0.1661669,0.164747823157,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,9,12,11.881188118812,28.08,"",2019-06-14,"126144","",2019-06-14,"126144",6,4,5,24,0,0,0,0.75
"480537024489998",39,1,561,2012,2012,1,391607,"247063599010661","211868160020004","480344577489998","",1,1,1,1,1,192,192,183.1017964072,,,,0,0,0,0,0,0,0,0,0,24,24,22.8862275449,32,3.7662780503088,3.7662780503088,3.9495663070742204081632653061224489796E00,1.13272576876235661870670740134367126829E02,1.13272576876235661870670740134367126829E02,1.18785057069584650124973397817515291556E02,5.66362884381178309353353700671835634145E01,5.66362884381178309353353700671835634145E01,5.9392528534792325062486698908757645778E01,24,24,22.8862275449,16,58.2820208054656,58.2820208054656,6.11183514883061551020408163265306122451E01,1.75285908103576834503737910562269161464E03,1.75285908103576834503737910562269161464E03,1.83816305515210871975662361468753217987E03,8.76429540517884172518689552811345807318E02,8.76429540517884172518689552811345807318E02,9.19081527576054359878311807343766089937E02,40,40,38.1437125749,13,338.260620066837,338.260620066837,3.54722282895835346938775510204081632654E02,1.01733466246822663646563544220411569564E04,1.01733466246822663646563544220411569564E04,1.06684388466055791704716558146365664787E04,5.0866733123411331823281772110205784782E03,5.0866733123411331823281772110205784782E03,5.33421942330278958523582790731828323935E03,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0625,2611.33125,1305.665625,1.075,17443.0575,8721.52875,8,8,7.628464419476,35.3829041214,"",2017-07-14,"489998","",2017-07-14,"489998",7,1,1,24,192,192,183.1017964072,1
"670706547126144",39,1,561,2012,2012,1,391707,"247063599010661","211868160020004","539092538126144","",1,1,1,1,1,192,192,183.0733009709,,,,0,0,0,0,0,0,0,0,0,24,24,22.8932038835,32,3.7662780503088,3.7662780503088,3.94836273976393282442748091603053435113E00,1.13272576876235661870670740134367126829E02,1.13272576876235661870670740134367126829E02,1.1874885921885265315703904563704645357E02,5.66362884381178309353353700671835634145E01,5.66362884381178309353353700671835634145E01,5.9374429609426326578519522818523226785E01,24,24,22.8932038835,16,58.2820208054656,58.2820208054656,6.10997266459334025445292620865139949108E01,1.75285908103576834503737910562269161464E03,1.75285908103576834503737910562269161464E03,1.83760290429195052965750684864261818124E03,8.76429540517884172518689552811345807318E02,8.76429540517884172518689552811345807318E02,9.1880145214597526482875342432130909062E02,40,40,38.1553398058,13,338.260620066837,338.260620066837,3.54614186940297312977099236641221374045E02,1.01733466246822663646563544220411569564E04,1.01733466246822663646563544220411569564E04,1.06651878100994751710901221930813146718E04,5.0866733123411331823281772110205784782E03,5.0866733123411331823281772110205784782E03,5.3325939050497375855450610965406573359E03,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0625,2611.33125,1305.665625,1.075,17443.0575,8721.52875,8,8,7.62598664238,35.3829041214,"",2019-06-14,"126144","",2019-06-14,"126144",7,1,1,24,192,192,183.0733009709,1
"480537022489998",39,1,599,2012,2012,1,391607,"247063595010661","211867984020004","480344577489998","",1,1,1,1,1,192,192,183.1017964072,,,,274.06464954375,274.06464954375,2.87383377688888638402522865385104176955E02,4095.8243941554888,4095.8243941554888,4.29486929734456611375727843889275168198E03,2049.3185772503924688,2049.3185772503924688,2.14890937474513896199892626652453188117E03,24,24,22.8862275449,20,2.353923781443,2.353923781443,2.46847894192138775510204081632653061225E00,6.13091020234302707915193555418130863682E01,6.13091020234302707915193555418130863682E01,6.42927474908185571251725737863911172591E01,3.06545510117151353957596777709065431841E01,3.06545510117151353957596777709065431841E01,3.21463737454092785625862868931955586296E01,24,24,22.8862275449,8,29.1410104027328,29.1410104027328,3.05591757441530775510204081632653061225E01,7.58991941001489312434306151502336708166E02,7.58991941001489312434306151502336708166E02,7.95928754456820817435033766410613690826E02,3.79495970500744656217153075751168354083E02,3.79495970500744656217153075751168354083E02,3.97964377228410408717516883205306845413E02,40,40,38.1437125749,8,208.160381579592,208.160381579592,2.18290635628206367346938775510204081633E02,5.42163946518096495316586066335513330392E03,5.42163946518096495316586066335513330392E03,5.68548691168113750190705639422484936738E03,2.71081973259048247658293033167756665196E03,2.71081973259048247658293033167756665196E03,2.84274345584056875095352819711242468369E03,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.425,20796.27,10398.135,1.475,28056.27,14028.135,8,8,7.628464419476,30.6417547969,"",2017-07-14,"489998","",2017-07-14,"489998",7,1,1,24,192,192,183.1017964072,1
"670706545126144",39,1,599,2012,2012,1,391707,"247063595010661","211867984020004","539092538126144","",1,1,1,1,1,192,192,183.0733009709,,,,274.06464954375,274.06464954375,2.87428109032523806889274876000502839978E02,4095.8243941554888,4095.8243941554888,4.29553779555748513580892747390680604578E03,2049.3185772503924688,2049.3185772503924688,2.14924385339333210827017849747222363491E03,24,24,22.8932038835,20,2.353923781443,2.353923781443,2.46772671235245801526717557251908396946E00,6.13091020234302707915193555418130863682E01,6.13091020234302707915193555418130863682E01,6.42731553019167215422543879980330574647E01,3.06545510117151353957596777709065431841E01,3.06545510117151353957596777709065431841E01,3.21365776509583607711271939990165287324E01,24,24,22.8932038835,8,29.1410104027328,29.1410104027328,3.05498633229667012722646310432569974554E01,7.58991941001489312434306151502336708166E02,7.58991941001489312434306151502336708166E02,7.95686207869245793188127568496088355632E02,3.79495970500744656217153075751168354083E02,3.79495970500744656217153075751168354083E02,3.97843103934622896594063784248044177816E02,40,40,38.1553398058,8,208.160381579592,208.160381579592,2.18224115040182961832061068702290076335E02,5.42163946518096495316586066335513330392E03,5.42163946518096495316586066335513330392E03,5.68375435026604977278456639517128478678E03,2.71081973259048247658293033167756665196E03,2.71081973259048247658293033167756665196E03,2.84187717513302488639228319758564239339E03,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.425,20796.27,10398.135,1.475,28056.27,14028.135,8,8,7.62598664238,30.6417547969,"",2019-06-14,"126144","",2019-06-14,"126144",7,1,1,24,192,192,183.0733009709,1
"480537031489998",39,3,272,2012,2012,1,391607,"247063360010661","211866612020004","480344576489998","",1,1,1,1,1,192,192,191.8008298755,,,,0,0,0,0,0,0,0,0,0,24,24,23.9751037344,0,0,0,0,0,0,0,0,0,0,24,24,23.9751037344,0,0,0,0,0,0,0,0,0,0,40,40,39.9585062241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,8,8,7.991701244813,28.08,"",2017-07-14,"489998","",2017-07-14,"489998",7,1,6,24,192,192,191.8008298755,1
