"TRE_CN","PREV_TRE_CN","PLT_CN","STATECD","SPCD","DIA","DIAHTCD","TREE_SIZE","TREECLCD","SUBPTYP","VOLCFSND","VOLCFNET","VOLCSNET","VOLBFNET","REGIONAL_DRYBIOT","REGIONAL_DRYBIOM","REGIONAL_DRYBIOSL","DRYBIO_BG","DRYBIO_AG","DRYBIO_WDLD_SPP","DRYBIO_SAPLING","DRYBIO_STUMP","DRYBIO_BOLE","DRYBIO_SAWLOG","DRYBIO_TOP","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"31292947020004","73963034010538","222444641010661",39,901,13.2,1,"LARGE",2,1,25.876439,22.739901,18.419319,91.24311,1334.112905,1198.261499,9.70591771507676352680691090079943619807E02,2.8484317512917794792609164603068216026E02,1.47789248943853779922932002673452339261E03,,,8.91594323871527202070060283519849418892E01,1135.9342697976,8.08578633189599999950781164867956737043E02,2.52798787253785079022313998382538450723E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"31286656020004","73976630010538","222444651010661",39,975,2.25,1,"SAPLING",2,2,,,,,18.60799,,,2.35988978304697624339813420373499806716E00,1.0575313684640744869816050657962452201E01,,1.0575313684640744869816050657962452201E01,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"31286500020004","73976323010538","222444657010661",39,621,4.97,1,"SAPLING",2,2,,,,,127.29254,,,1.67893765739120061499868975113388689819E01,8.30905850125715918375386171447639670493E01,,8.30905850125715918375386171447639670493E01,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"31286503020004","73976329010538","222444657010661",39,972,1,1,"SAPLING",2,2,,,,,2.60114,,,3.76494219227933050903735369229060524731E-01,1.2279837257919964383465797009037193553E00,,1.2279837257919964383465797009037193553E00,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"31286516020004","73976317010538","222444657010661",39,975,5.4,1,"SMALL",3,1,1.524783,1.304712,,,136.740384,121.255797,,1.5785669710059067873864936626819666424E01,7.86054783229112033101931185466833276755E01,,,5.47670463669341486675679536729252516125E00,49.53324665952,,2.35955270266977884434363231793908025143E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31286521020004","73976303010538","222444657010661",39,316,9.68,1,"SMALL",2,1,12.091183,10.991984,,,548.636113,486.508132,,1.08880724907395992928792363497497230733E02,5.5918638139083003549471486306542219075E02,,,2.55439947109672342562732398452666049294E01,408.63168607872,,1.25010700601142801238441623220155585821E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"31286522020004","73976305010538","222444657010661",39,316,4.72,1,"SAPLING",2,2,,,,,112.309547,,,1.7026020182625027185199513842355478702E01,8.39157262541071835407140529597956880575E01,,8.39157262541071835407140529597956880575E01,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"31292091020004","73960273010538","222444663010661",39,313,1.8,1,"SAPLING",2,2,,,,,10.828219,,,2.07066803181698037177765835757155299887E00,8.82353320701109447946363804734124141552E00,,8.82353320701109447946363804734124141552E00,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"31292117020004","","222444663010661",39,130,4.62,1,"SAPLING",2,2,,,,,106.623049,,,1.5736728583228088590737758879900124943E01,6.55283881487201749018377819841275256162E01,,6.55283881487201749018377819841275256162E01,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"31292681020004","73962146010538","222444669010661",39,621,6.7,1,"SMALL",2,1,4.833763,4.736112,,,182.189247,161.557995,,4.16343419214327775376291093674439066532E01,2.10172837209529202732995234730798336529E02,,,1.15251466542118238181393950215508859266E01,141.28199836608,,5.7365692189237378914855839709247450602E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31292707020004","73962192010538","222444669010661",39,743,7.2,1,"SMALL",2,1,5.77534,5.483656,,,265.938539,235.823452,,4.61961300296534362678326913282215800342E01,2.34114457610686702751511196338332156714E02,,,1.09804443025205815090008453153376990503E01,160.35522587136,,6.27787874368061212425103510229944576635E01,"",2019-06-13,"126144","",2019-06-13,"126144"
