"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SMPLNNBR","MEASYEAR","FORFLTHK","LTRLRTHK","FORFLTHKN","LTRLRTHKN","FORFLTHKS","LTRLRTHKS","FORFLTHKE","LTRLRTHKE","FORFLTHKW","LTRLRTHKW","CONDID","VSTNBR","TXTRLYR1","TXTRLYR2","DPTHSBSL","SOILS_STATCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"54176489010538","59855376010538",2003,39,135,1422,4,2003,0.4,0.4,0,0,1.6,1.6,0,0,0,0,1,1,,,7.9,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"54174689010538","59856286010538",2003,39,141,3077,2,2003,,,,,,,,,,,,1,,,,2,"",2006-08-16,"10538","",2007-11-29,"10661"
"54174690010538","59856286010538",2003,39,141,3077,3,2003,1.3,1.3,1.2,1.2,1.2,1.2,1.6,1.6,1.2,1.2,1,1,,,9.4,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"54174691010538","59856286010538",2003,39,141,3077,4,2003,,,,,,,,,,,,1,,,,4,"",2006-08-16,"10538","",2007-11-29,"10661"
"54172659010538","59857241010538",2003,39,145,4951,2,2003,6.9,6.5,7.9,7.5,5.9,5.5,7.9,7.5,5.9,5.5,1,1,2,2,13.8,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"54172660010538","59857241010538",2003,39,145,4951,3,2003,7.9,6.7,7.9,5.9,7.9,7.1,7.9,6.7,7.9,7.1,1,1,,,11,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"54172661010538","59857241010538",2003,39,145,4951,4,2003,6.3,5.8,6.3,5.5,5.9,5.5,7.1,6.7,5.9,5.5,1,1,,,5.5,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"54180901010538","59858451010538",2003,39,155,3843,2,2003,,,,,,,,,,,,1,,,,2,"",2006-08-16,"10538","",2007-11-29,"10661"
"54180902010538","59858451010538",2003,39,155,3843,3,2003,,,,,,,,,,,,1,,,,2,"",2006-08-16,"10538","",2007-11-29,"10661"
"54180903010538","59858451010538",2003,39,155,3843,4,2003,,,,,,,,,,,,1,,,,2,"",2006-08-16,"10538","",2007-11-29,"10661"
"54178512010538","59859396010538",2003,39,157,3047,3,2003,1.3,0.8,1.2,0.8,1.2,0.8,1.6,0.8,1.2,0.8,1,1,,,6.3,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"54178513010538","59859396010538",2003,39,157,3047,4,2003,2,1.5,2,1.6,2.4,1.6,2,1.6,1.6,1.2,1,1,,,2.8,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"54175826010538","59860065010538",2003,39,165,2505,2,2003,0.3,0.3,0.8,0.8,0,0,0.4,0.4,0,0,1,1,2,2,18.9,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"54175827010538","59860065010538",2003,39,165,2505,3,2003,0.3,0.3,0.4,0.4,0,0,0,0,0.8,0.8,1,1,,,11.4,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"54175828010538","59860065010538",2003,39,165,2505,4,2003,0.9,0.7,0.8,0.8,1.6,1.2,0.8,0.4,0.4,0.4,1,1,,,10.2,1,"",2006-08-16,"10538","",2007-11-29,"10661"
"56709377010538","59884897010538",2004,39,13,3399,2,2004,,,,,,,,,,,,1,,,,2,"",2006-08-16,"10538","",,""
"56709378010538","59884897010538",2004,39,13,3399,3,2004,,,,,,,,,,,,1,,,,2,"",2006-08-16,"10538","",,""
"56709379010538","59884897010538",2004,39,13,3399,4,2004,,,,,,,,,,,,1,,,,2,"",2006-08-16,"10538","",,""
"56708361010538","59885224010538",2004,39,13,4479,2,2004,0.075,0.075,0.1,0.1,0.1,0.1,0.1,0.1,0,0,2,1,2,2,20,1,"",2006-08-16,"10538","",,""
"56708362010538","59885224010538",2004,39,13,4479,3,2004,0.25,0.125,0.3,0.1,0.2,0.1,0.3,0.2,0.2,0.1,1,1,,,6,1,"",2006-08-16,"10538","",,""
"56708363010538","59885224010538",2004,39,13,4479,4,2004,0.15,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,1,1,,,6,1,"",2006-08-16,"10538","",,""
"56707341010538","59886638010538",2004,39,25,5374,2,2004,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,2,2,20,1,"",2006-08-16,"10538","",,""
"56707342010538","59886638010538",2004,39,25,5374,3,2004,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.4,1,1,,,20,1,"",2006-08-16,"10538","",,""
"56707343010538","59886638010538",2004,39,25,5374,4,2004,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,,,14,1,"",2006-08-16,"10538","",,""
"56708503010538","59886738010538",2004,39,27,3456,2,2004,0.6,0.6,0.4,0.4,0.8,0.8,0.8,0.8,0.4,0.4,1,1,1,2,16,1,"",2006-08-16,"10538","",,""
"56708504010538","59886738010538",2004,39,27,3456,3,2004,0.7,0.7,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.8,1,1,,,10,1,"",2006-08-16,"10538","",2006-08-21,"10538"
"56708505010538","59886738010538",2004,39,27,3456,4,2004,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,,,7,1,"",2006-08-16,"10538","",,""
"56709458010538","59887136010538",2004,39,29,2347,2,2004,0.5,0.5,1.3,1.3,0,0,0.4,0.4,0.3,0.3,1,1,4,4,4,1,"",2006-08-16,"10538","",,""
"56709459010538","59887136010538",2004,39,29,2347,3,2004,0.55,0.45,0.4,0.3,0.2,0.2,0.7,0.6,0.9,0.7,1,1,,,3,1,"",2006-08-16,"10538","",,""
"56709460010538","59887136010538",2004,39,29,2347,4,2004,0.175,0.15,0,0,0.3,0.3,0,0,0.4,0.3,1,1,,,7,1,"",2006-08-16,"10538","",,""
"56709629010538","59872676010538",2004,39,41,3878,2,2004,,,,,,,,,,,,1,,,,2,"",2006-08-16,"10538","",,""
"56709630010538","59872676010538",2004,39,41,3878,3,2004,0.4,0,0.4,0,0.4,0,0.4,0,0.4,0,2,1,,,8,1,"",2006-08-16,"10538","",,""
"56709631010538","59872676010538",2004,39,41,3878,4,2004,,,,,,,,,,,,1,,,,2,"",2006-08-16,"10538","",,""
