"CN","STATECD","INVYR","UNITCD","COUNTYCD","PLOT","LAT","LON","CONGCD","ECOSUBCD","HUC","EMAP_HEX","FIPSCOUNTY","ROADLESSCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","ALP_ADFORCD","FVS_VARIANT","FVS_LOC_CD","FVS_REGION","FVS_FOREST","FVS_DISTRICT"
"19100668010661",39,1991,1,1,177,38.7223,-83.30546,3902," 221Eg",5060002,5006,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100688010661",39,1991,1,1,178,39.02785,-83.41658,3902," 223Fd",5090201,5144,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100690010661",39,1991,1,1,179,38.88896,-83.44436,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100719010661",39,1991,1,1,180,38.66674,-83.47213,3902," 221En",5090201,5146,21135,"","",2019-07-18,126144,"",2019-08-20,126144,,"SN",80211,8,2,11
"19100721010661",39,1991,1,1,181,38.75007,-83.52769,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100723010661",39,1991,1,1,182,38.80563,-83.58325,3902," 223Fd",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100725010661",39,1991,1,1,183,38.91674,-83.63881,3902," 222Hc",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100727010661",39,1991,1,1,184,38.7223,-83.63881,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100729010661",39,1991,1,1,185,38.75007,-83.63881,3902," 223Fd",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100731010661",39,1991,1,1,186,38.69452,-83.66659,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100733010661",39,1991,1,1,187,38.97229,-83.3888,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100756010661",39,1991,1,1,188,38.7223,-83.69436,3902," 223Fd",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100787010661",39,1991,1,1,189,38.69452,-83.61103,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100838010661",39,1991,1,1,190,38.94451,-83.47214,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100876010661",39,1991,1,1,191,39.00007,-83.36102,3902," 223Fd",5090201,5144,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100914010661",39,1991,1,1,192,38.91674,-83.63881,3902," 222Hc",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19100969010661",39,1991,1,1,193,38.97229,-83.52769,3902," 222Hc",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101030010661",39,1991,1,1,194,38.83341,-83.41658,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101085010661",39,1991,1,1,195,38.77785,-83.36102,3902," 221Eg",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101144010661",39,1991,1,1,196,38.83341,-83.33324,3902," 221Eg",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101195010661",39,1991,1,1,198,38.97229,-83.44436,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101232010661",39,1991,1,1,199,38.88896,-83.33324,3902," 221Eg",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101288010661",39,1991,1,1,200,38.94451,-83.63881,3902," 222Hc",5090201,5285,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101290010661",39,1991,1,1,201,38.88896,-83.61103,3902," 222Hc",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101292010661",39,1991,1,1,202,38.7223,-83.55547,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101308010661",39,1991,1,1,203,39.00007,-83.47214,3902," 222Hc",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101310010661",39,1991,1,1,204,38.94451,-83.41658,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101312010661",39,1991,1,1,205,38.80563,-83.30546,3902," 221Eg",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101314010661",39,1991,1,1,206,38.7223,-83.66659,3902," 223Fd",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101316010661",39,1991,1,1,207,38.80563,-83.55547,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101355010661",39,1991,1,1,208,38.97229,-83.41658,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101357010661",39,1991,1,1,209,38.66674,-83.47213,3902," 221En",5090201,5146,21135,"","",2019-07-18,126144,"",2019-08-20,126144,,"SN",80211,8,2,11
"19101359010661",39,1991,1,1,210,38.86118,-83.52769,3902," 222Hc",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
